name,image_url,calorie,prep_time,direction
Stout Slow Cooker Corned Beef and Veggies,https://images.media-allrecipes.com/userphotos/720x405/5232353.jpg,289,30 m,"(1)Pour 1 bottle Irish stout beer into a slow cooker.
(2)Rinse corned beef brisket and pat dry. Rub with brown sugar, including the bottom, and gently place brisket into the slow cooker with the stout beer.
(3)Arrange sweet potatoes, cabbage, onion, carrots, and red potatoes on and around the brisket in the slow cooker.
(4)Pour remaining 1/2 bottle Irish stout beer on and around brisket and vegetables to moisten the brown sugar. Cover the cooker and cook on Low until corned beef is tender, 6 to 8 hours. Allow brisket to stand 5 minutes before slicing."
Curried pork bulgur salad,https://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/05/curried-pork-bulghur-salad.jpg?itok=HsohO1Hy,287,5 m,"(1)Tip the bulgur into a small pan with the curry powder, cumin seeds (if using), bouillon, dates and spring onions. Pour over 300ml boiling water and cook, covered, for 5-8 mins or until the liquid has been absorbed and the bulgur is tender. Leave to cool completely.
(2)Stir in the mint, coriander, cucumber, tomatoes and pork. Spoon into containers and top with lemon wedges to squeeze over and mix through just before eating. Will keep for two-three days in the fridge."
Curried cod,https://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/08/curried-cod.jpg?itok=7P5xS7qS,296,10 m,"(1)Heat the oil in a large, lidded frying pan. Cook the onion over a high heat for a few mins, then stir in the curry powder, ginger and garlic. Cook for another 1-2 mins until fragrant, then stir in the tomatoes, chickpeas and some seasoning.
(2)Cook for 8-10 mins until thickened slightly, then top with the cod. Cover and cook for another 5-10 mins until the fish is cooked through. Scatter over the lemon zest and coriander, then serve with the lemon wedges to squeeze over."
One-pan egg & veg brunch,https://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/06/gfkids_onepanvegeggs.jpg?itok=XbNYQTmJ,170,5 m,"(1)Boil the new potatoes for 8 mins, then drain.
(2)Heat the oil and butter in a large non-stick frying pan, then add the courgette, peppers, potatoes and a little salt and pepper. Cook for 10 mins, stirring from time to time until everything is starting to brown. Add the spring onions, garlic and thyme and cook for 2 mins more.
(3)Make four spaces in the pan and crack in the eggs. Cover with foil or a lid and cook for around 4 mins, or until the eggs are cooked (with the yolks soft for dipping into). Sprinkle with more thyme leaves and ground black pepper if you like. Serve with toast."
Cheesy fish grills,https://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--2542_11.jpg?itok=QwhfscME,179,15 m ,"(1)Preheat the grill to high and lightly oil a large shallow heatproof dish. Arrange the fillets in the dish, slightly spaced apart, and brush them with a little oil. Grill for 2 minutes.
(2)Remove the dish from the grill, turn the fish over and top each fillet with a scrunched slice of ham. Mix together the cheese and onions, scatter over the fish and season with salt and pepper. Return to the grill for 5 minutes until the fish flakes easily when prodded with a knife. Serve with green vegetables – broccoli or stir-fried cabbage would be good."
Potato salad with anchovy & quail’s eggs,https://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/potato-salad-anchovy-quails-eggs.jpg?itok=eC6yE3Le,174,10 m,"(1)Bring a medium pan of water to a simmer. Lower the quail’s eggs into the water and cook for 2 mins. Lift out the eggs with a slotted spoon and put into a bowl of cold water. Add the beans to the pan, simmer for 4 mins until tender, then remove from the pan with a slotted spoon and plunge into the bowl of cold water.
(2)Put the potatoes in the pan and boil for 10-15 mins until tender. Drain the potatoes in a colander and leave them to cool. While the potatoes are cooling, peel the eggs and cut them in half. Toss the potatoes and beans with the chopped anchovy, herbs and lemon juice. Top with the quail’s eggs to serve."
Fiesta Slow Cooker Shredded Chicken Tacos,https://images.media-allrecipes.com/userphotos/720x405/2280317.jpg,71,10m,"(1)Combine chicken broth and taco seasoning mix in a bowl. Place chicken in a slow cooker and pour chicken broth mixture over chicken.
(2)Cook on Low for 6 to 8 hours. Shred chicken."
Spicy Lime Grilled Shrimp,https://images.media-allrecipes.com/userphotos/250x250/212708.jpg,69,5 m,"(1)Mix together the Cajun seasoning, lime juice, and vegetable oil in a resealable plastic bag. Add the shrimp, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 20 minutes.
(2)Preheat an outdoor grill for medium heat, and lightly oil the grate. Remove the shrimp from the marinade, and shake off excess. Discard the remaining marinade.
(3)Cook the shrimp on the preheated grill until they are bright pink on the outside and the meat is no longer transparent in the center, about 2 minutes per side."
Carrot Hot Dogs,https://images.media-allrecipes.com/userphotos/560x315/4555728.jpg,88,10 m,"(1)Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add carrots, cover, and steam until tender yet still have a snap, about 15 minutes. Run cold water over carrots to stop the cooking process. Transfer carrots to a storage container.
(2)Whisk soy sauce, water, vinegar, sesame oil, ginger, garlic, and black pepper together in a bowl; pour over carrots. Cover container and refrigerate, at least 3 hours. The longer they marinate, the more intense to flavor.
(3)Preheat an outdoor grill for medium-high heat and lightly oil the grate.
(4)Remove carrots from marinade and place on the grill; cook until desired doneness is reached, 5 to 10 minutes."
Spicy Korean Chicken and Ramen Noodle Packets,https://images.media-allrecipes.com/userphotos/560x315/3457354.jpg,193,20 m,"(1)Preheat the oven to 425 degrees F.
(2)Mix together the gochujang, soy sauce, water, sesame oil and sugar in a large bowl until combined.
(3)Place the sliced chicken, green onions, cabbage, mushrooms, zucchini and cooked ramen noodles into the large bowl with the gochujang mixture and toss until coated.
(4)Place a 1 1/2 to 2 feet long sheet of Reynolds Wrap(R) Aluminum Foil on a table and place 1/4 of the ramen noodle mixture into the center of the foil. Fold up the ends and then the outside to create a foil packet.
(5)Repeat the process 3 more times and place the foil packets on a cookie sheet tray.
(6)Bake in the oven for 25 minutes or until chicken is cooked throughout."